time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
25.528831243515015,65,78,40,55,43,39,54,45,1
25.54921293258667,58,68,43,58,43,37,57,48,1
25.57273769378662,55,57,40,51,39,37,57,52,1
25.587916374206543,55,59,38,45,36,32,51,51,1
25.608763694763184,53,58,38,45,39,31,47,48,1
25.631699323654175,48,54,39,48,39,31,45,50,1
25.650862216949463,46,50,36,47,44,34,41,45,1
25.66932773590088,45,54,35,45,44,35,38,40,1
25.692179679870605,47,62,34,48,45,35,44,42,1
25.708545684814453,48,64,34,44,43,35,50,44,1
25.729546546936035,60,73,38,45,46,36,51,46,1
25.75209093093872,65,75,37,43,43,33,54,51,1
25.771135091781616,65,72,36,43,41,33,55,52,1
25.789062023162842,72,74,40,43,43,33,53,51,1
25.811957359313965,72,74,41,45,44,33,49,51,1
25.827800989151,66,76,36,39,38,30,48,48,1
25.850146532058716,65,76,37,37,34,31,48,43,1
25.871771812438965,62,77,39,43,38,36,47,45,1
25.888917207717896,50,64,33,40,35,36,46,43,1
25.909215688705444,53,76,38,49,40,37,52,46,1
25.931665897369385,52,66,37,53,42,36,52,46,1
25.949159145355225,52,66,36,53,42,40,52,44,1
25.97156071662903,53,64,37,52,41,39,56,41,1
25.99154806137085,55,67,38,55,43,41,61,44,1
26.008611917495728,51,52,35,50,40,40,64,42,1
26.029467344284058,57,51,34,46,46,42,67,44,1
26.051701068878174,56,62,35,46,46,38,70,47,1
26.06848978996277,59,62,32,42,46,36,65,49,1
26.08920383453369,67,71,36,49,51,33,60,46,1
26.112311124801636,67,71,34,46,48,32,50,44,1
26.134260416030884,67,86,39,51,42,31,47,43,1
26.14925503730774,67,82,40,55,47,33,43,41,1
26.173467874526978,66,88,43,57,48,34,50,39,1
26.19466209411621,68,80,43,52,46,35,52,46,1
26.20915198326111,70,82,44,53,46,37,53,47,1
26.239154815673828,62,65,45,58,54,41,53,49,1
26.254156351089478,64,64,44,54,51,41,53,51,1
26.26935648918152,62,57,42,53,50,39,45,48,1
26.291741132736206,69,72,41,52,47,44,52,45,1
26.314207077026367,67,71,46,67,59,50,57,44,1
26.329302549362183,68,69,44,61,50,46,58,44,1
26.351991415023804,68,68,45,65,49,49,66,50,1
26.37415885925293,68,66,45,66,58,100,99,51,1
26.39907741546631,47,46,41,65,58,99,99,49,1
26.41191530227661,47,48,36,46,45,100,98,51,1
26.434226989746094,43,50,33,49,47,101,100,49,1
26.449187517166138,38,49,34,44,48,101,94,42,1
26.47166657447815,36,49,36,47,41,91,69,41,1
26.494571685791016,40,48,37,45,39,95,63,41,1
26.509096384048462,48,46,37,47,39,94,70,42,1
26.53129482269287,47,44,35,43,36,94,64,42,1
26.55366325378418,48,42,36,48,41,94,66,40,1
26.5690975189209,47,39,32,42,37,58,55,39,1
26.592023611068726,43,39,31,43,36,47,52,38,1
26.614352703094482,34,31,31,42,37,41,39,35,1
26.629149198532104,35,28,31,40,37,40,38,33,1
26.651965379714966,35,30,27,37,32,34,39,35,1
26.674350023269653,36,33,31,41,33,33,42,36,1
26.691065311431885,35,35,32,43,34,32,45,37,1
26.7118558883667,33,37,34,45,33,31,43,36,1
26.734255075454712,34,41,37,53,40,30,44,44,1
26.749358654022217,29,37,37,50,38,30,43,41,1
26.77167773246765,27,33,34,48,38,27,41,40,1
26.79374408721924,31,32,34,49,39,29,40,41,1
26.809383153915405,30,33,30,48,39,31,41,41,1
26.83217215538025,33,31,28,42,39,30,38,33,1
26.854148149490356,33,33,30,41,39,34,36,33,1
26.86869168281555,32,33,31,43,40,36,37,33,1
26.891671895980835,31,32,31,40,41,36,36,27,1
26.91427707672119,32,29,34,45,44,36,36,27,1
26.931905269622803,31,27,33,45,42,36,35,25,1
26.95117974281311,31,26,32,45,45,33,34,26,1
26.974220037460327,31,26,34,46,45,29,32,26,1
26.99106454849243,30,30,36,49,45,27,34,26,1
27.011737823486328,30,31,36,47,42,30,36,30,1
27.034343719482422,28,33,38,45,41,30,38,29,1
27.05305314064026,32,34,37,49,38,32,38,34,1
27.07189679145813,35,39,37,50,42,33,39,34,1
27.095825910568237,34,39,36,48,41,77,63,36,1
27.116779327392578,41,49,36,45,43,87,70,36,1
27.132009744644165,41,52,34,46,43,94,73,37,1
27.154290199279785,40,53,33,45,42,97,79,33,1
27.17675471305847,39,50,32,43,38,99,81,34,1
27.191823720932007,38,48,31,44,36,88,76,36,1
27.214678049087524,32,40,29,49,45,84,73,34,1
27.236679792404175,32,34,33,51,46,76,75,39,1
27.251667022705078,31,34,33,50,47,78,69,39,1
27.27418303489685,31,36,33,54,50,77,66,39,1
27.29672145843506,31,36,35,55,53,57,50,39,1
27.311940908432007,34,37,35,53,48,51,48,39,1
27.33446741104126,32,38,32,48,45,50,37,36,1
27.35668706893921,31,38,34,49,46,42,39,36,1
27.371877908706665,31,36,34,47,40,39,37,33,1
27.394185066223145,33,35,34,45,37,36,38,31,1
27.416985273361206,29,31,30,41,30,34,32,29,1
27.431678295135498,32,30,32,43,32,34,38,31,1
27.454197883605957,33,25,28,39,27,31,33,31,1
27.47681975364685,35,26,28,39,32,30,35,34,1
27.49185037612915,34,24,25,37,31,29,34,34,1
27.514384984970093,35,26,26,38,37,28,38,33,1
27.536816358566284,33,27,28,44,41,29,37,30,1
27.551985263824463,39,30,34,54,48,32,40,31,1
27.574337005615234,38,28,34,55,52,37,42,33,1
27.597899913787842,37,29,36,56,53,39,41,35,1
27.611754655838013,37,29,37,58,52,44,39,35,1
